17,4	0,3	112	NAN	
17,5	0,3	113	NAN	
17,6	0,3015	114,5	NAN	
17,7	0,3045	115,5	NAN	
17,8	0,306	116	NAN	
17,9	0,309	117	NAN	
18	0,312	119	NAN	
18,1	0,3195	121,5	NAN	
18,2	0,324	123,5	NAN	
18,3	0,327	125	NAN	
18,4	0,3285	127	NAN	
18,5	0,333	128	NAN	
18,6	0,3345	129	NAN	
18,7	0,3375	130,5	NAN	
18,8	0,3375	131	NAN	
18,9	0,3405	131,5	NAN	
19	0,3405	132,5	NAN	
19,1	0,345	133,5	NAN	
19,2	0,3465	135	NAN	
19,3	0,3495	136	NAN	
19,4	0,3525	137	NAN	
19,5	0,354	138	NAN	
19,6	0,357	139	NAN	
19,7	0,3585	140	NAN	
19,8	0,3585	140,5	NAN	
19,9	0,36	141	NAN	
20	0,3645	142	NAN	
20,1	0,363	143	NAN	
20,2	0,366	143,5	NAN	
20,3	0,3645	143,5	NAN	
20,4	0,366	144	NAN	
20,5	0,3645	144	NAN	
20,6	0,3675	144,5	NAN	
20,7	0,3705	145,5	NAN	
20,8	0,372	146,5	NAN	
20,9	0,3705	146	NAN	
21	0,3705	146,5	NAN	
21,1	0,3705	147	NAN	
21,2	0,375	148	NAN	
21,3	0,378	149	NAN	
21,4	0,3795	150,5	NAN	
21,5	0,3825	151,5	NAN	
21,6	0,384	152,5	NAN	
21,7	0,3855	153	NAN	
21,8	0,3885	154,5	NAN	
21,9	0,3945	156,5	NAN	
22	0,396	157,5	NAN	
22,1	0,399	158,5	NAN	
22,2	0,4035	160	NAN	
22,3	0,405	162	NAN	
22,4	0,408	163	NAN	
22,5	0,4095	164	NAN	
22,6	0,4125	165	NAN	
22,7	0,414	166	NAN	
22,8	0,4155	166,5	NAN	
22,9	0,417	167,5	NAN	
23	0,417	168	NAN	
23,1	0,42	168,5	NAN	
23,2	0,4215	169	NAN	
23,3	0,423	170	NAN	
23,4	0,426	171	NAN	
23,5	0,4275	171,5	NAN	
23,6	0,4275	172,5	NAN	
23,7	0,432	174	NAN	
23,8	0,4335	175	NAN	
23,9	0,4335	175	NAN	
24	0,438	176,5	NAN	
24,1	0,4395	177	NAN	
24,2	0,4425	178,5	NAN	
24,3	0,4455	180	NAN	
24,4	0,4455	180,5	NAN	
24,5	0,4485	181	NAN	
24,6	0,4485	182	NAN	
24,7	0,45	182,5	NAN	
24,8	0,4515	182,5	NAN	
24,9	0,45	183	NAN	
25	0,4515	183,5	NAN	
25,1	0,453	184	NAN	
25,2	0,4545	184,5	NAN	
25,3	0,4575	184,5	NAN	
25,4	0,456	185,5	NAN	
25,5	0,462	187,5	NAN	
25,6	0,4635	189	NAN	
25,7	0,465	189,5	NAN	
25,8	0,4665	190	NAN	
25,9	0,474	191,5	NAN	
26	0,4755	193,5	NAN	
26,1	0,48	195	NAN	
26,2	0,4815	197	NAN	
26,3	0,486	197,5	NAN	
26,4	0,486	198	NAN	
26,5	0,4875	198,5	NAN	
26,6	0,4875	199	NAN	
26,7	0,489	200	NAN	
26,8	0,4905	200,5	NAN	
26,9	0,495	202	NAN	
27	0,4995	203,5	NAN	
27,1	0,504	206,5	NAN	
27,2	0,51	208,5	NAN	
27,3	0,513	210	NAN	
27,4	0,513	210,5	NAN	
27,5	0,5145	211	NAN	
27,6	0,5175	212,5	NAN	
27,7	0,522	214	NAN	
27,8	0,525	215	NAN	
27,9	0,5265	216,5	NAN	
28	0,531	218,5	NAN	
28,1	0,537	221	NAN	
28,2	0,546	222,5	NAN	
28,3	0,5475	225	NAN	
28,4	0,549	226	NAN	
28,5	0,549	226,5	NAN	
28,6	0,549	226,5	NAN	
28,7	0,552	227	NAN	
28,8	0,552	227,5	NAN	
28,9	0,5535	228	NAN	
29	0,5535	228,5	NAN	
29,1	0,555	228,5	NAN	
29,2	0,555	228,5	NAN	
29,3	0,555	229,5	NAN	
29,4	0,558	230	NAN	
29,5	0,561	231	NAN	
29,6	0,5625	232	NAN	
29,7	0,567	234	NAN	
29,8	0,5715	235,5	NAN	
29,9	0,579	238,5	NAN	
30	0,582	240,5	NAN	
30,1	0,582	241	NAN	
30,2	0,5835	241,5	NAN	
30,3	0,585	242	NAN	
30,4	0,585	242	NAN	
30,5	0,585	242,5	NAN	
30,6	0,5865	243	NAN	
30,7	0,5895	244	NAN	
30,8	0,5925	245	NAN	
30,9	0,594	246,5	NAN	
31	0,6	248	NAN	
31,1	0,6045	250,5	NAN	
31,2	0,603	252	NAN	
31,3	0,609	253	NAN	
31,4	0,6105	253	NAN	
31,5	0,6105	254	NAN	
31,6	0,615	255	NAN	
31,7	0,6165	255,5	NAN	
31,8	0,618	256	NAN	
31,9	0,6195	257	NAN	
32	0,6225	258,5	NAN	
32,1	0,6255	260	NAN	
32,2	0,63	261,5	NAN	
32,3	0,633	263,5	NAN	
32,4	0,6375	265	NAN	
32,5	0,6405	266	NAN	
32,6	0,6405	267	NAN	
32,7	0,6465	269	NAN	
32,8	0,651	270,5	NAN	
32,9	0,654	272	NAN	
33	0,657	273	NAN	
33,1	0,66	275	NAN	
33,2	0,66	275,5	NAN	
33,3	0,663	276	NAN	
33,4	0,663	276,5	NAN	
33,5	0,6645	277	NAN	
33,6	0,666	278	NAN	
33,7	0,6705	279	NAN	
33,8	0,672	280	NAN	
33,9	0,6765	281,5	NAN	
34	0,681	283,5	NAN	
34,1	0,6825	285	NAN	
34,2	0,684	285,5	NAN	
34,3	0,684	286	NAN	
34,4	0,6945	288,5	NAN	
34,5	0,696	289,5	NAN	
34,6	0,696	290,5	NAN	
34,7	0,7005	292	NAN	
34,8	0,7035	293	NAN	
34,9	0,7035	294	NAN	
35	0,7065	294,5	NAN	
35,1	0,711	296	NAN	
35,2	0,714	297,5	NAN	
35,3	0,7185	299	NAN	
35,4	0,7185	300	NAN	
35,5	0,723	301,5	NAN	
35,6	0,729	303	NAN	
35,7	0,732	304,5	NAN	
35,8	0,7305	305,5	NAN	
35,9	0,7335	306,5	NAN	
36	0,7365	307	NAN	
36,1	0,738	308	NAN	
36,2	0,7395	308,5	NAN	
36,3	0,741	309	NAN	
36,4	0,7425	310	NAN	
36,5	0,7455	311	NAN	
36,6	0,7515	312,5	NAN	
36,7	0,7665	318	NAN	
36,8	0,7695	320,5	NAN	
36,9	0,768	321,5	NAN	
37	0,7725	322	NAN	
37,1	0,7725	322,5	NAN	
37,2	0,774	323	NAN	
37,3	0,777	324	NAN	
37,4	0,7815	325,5	NAN	
37,5	0,7875	327,5	NAN	
37,6	0,792	329,5	NAN	
37,7	0,7965	331,5	NAN	
37,8	0,8025	333,5	NAN	
37,9	0,807	336	NAN	
38	0,8175	338,5	NAN	
38,1	0,8175	340,5	NAN	
38,2	0,8205	342	NAN	
38,3	0,825	342,5	NAN	
38,4	0,828	344	NAN	
38,5	0,8325	345,5	NAN	
38,6	0,837	347,5	NAN	
38,7	0,8385	348,5	NAN	
38,8	0,8415	349,5	NAN	
38,9	0,8415	350,5	NAN	
39	0,8445	351,5	NAN	
39,1	0,846	352	NAN	
39,2	0,846	352,5	NAN	
39,3	0,8475	353	NAN	
39,4	0,852	353,5	NAN	
39,5	0,855	355	NAN	
39,6	0,861	356,5	NAN	
39,7	0,867	359	NAN	
39,8	0,873	362,5	NAN	
39,9	0,885	366	NAN	
40	0,8865	367,5	NAN	
40,1	0,8865	368	NAN	
40,2	0,888	369	NAN	
40,3	0,8895	369	NAN	
40,4	0,891	369,5	NAN	
40,5	0,8925	370	NAN	
40,6	0,894	370,5	NAN	
40,7	0,8955	371,5	NAN	
40,8	0,9015	373	NAN	
40,9	0,9045	374,5	NAN	
41	0,906	375	NAN	
41,1	0,909	376,5	NAN	
41,2	0,9135	378	NAN	
41,3	0,9135	378,5	NAN	
41,4	0,9135	378,5	NAN	
41,5	0,915	379	NAN	
41,6	0,9165	379	NAN	
41,7	0,9165	380	NAN	
41,8	0,9165	380,5	NAN	
41,9	0,921	381,5	NAN	
42	0,9225	382	NAN	
42,1	0,9255	383	NAN	
42,2	0,927	383,5	NAN	
42,3	0,9285	384	NAN	
42,4	0,9285	384,5	NAN	
42,5	0,933	385,5	NAN	
42,6	0,939	387	NAN	
42,7	0,948	391	NAN	
42,8	0,954	393	NAN	
42,9	0,954	394	NAN	
43	0,9555	394,5	NAN	
43,1	0,9555	395	NAN	
43,2	0,957	395,5	NAN	
43,3	0,957	396	NAN	
43,4	0,9585	396	NAN	
43,5	0,963	397,5	NAN	
43,6	0,9675	398,5	NAN	
43,7	0,966	399	NAN	
43,8	0,9705	400,5	NAN	
43,9	0,9735	401,5	NAN	
44	0,978	403	NAN	
44,1	0,9825	404,5	NAN	
44,2	0,984	405,5	NAN	
44,3	0,99	407	NAN	
44,4	0,9915	408	NAN	
44,5	0,9915	409	NAN	
44,6	0,993	409,5	NAN	
44,7	0,993	409,5	NAN	
44,8	0,9945	410	NAN	
44,9	0,996	410,5	NAN	
45	0,996	410,5	NAN	
45,1	0,9975	411	NAN	
45,2	0,9975	411	NAN	
45,3	0,9975	411,5	NAN	
45,4	0,999	411,5	NAN	
45,5	0,999	412	NAN	
45,6	0,999	412	NAN	
45,7	1,002	412,5	NAN	
45,8	1,002	413	NAN	
45,9	1,0035	413,5	NAN	
46	1,005	414	NAN	
46,1	1,0065	414	NAN	
46,2	1,005	414,5	NAN	
46,3	1,008	415,5	NAN	
46,4	1,0155	417,5	NAN	
46,5	1,02	419	NAN	
46,6	1,0215	420	NAN	
46,7	1,0215	420,5	NAN	
46,8	1,0215	420,5	NAN	
46,9	1,0215	421	NAN	
47	1,023	421	NAN	
47,1	1,023	421,5	NAN	
47,2	1,0245	422	NAN	
47,3	1,026	422	NAN	
47,4	1,032	424	NAN	
47,5	1,041	426,5	NAN	
47,6	1,0425	428	NAN	
47,7	1,044	429	NAN	
47,8	1,047	429	NAN	
47,9	1,0455	429,5	NAN	
48	1,0455	429,5	NAN	
48,1	1,047	430	NAN	
48,2	1,047	430	NAN	
48,3	1,05	430,5	NAN	
48,4	1,0515	431	NAN	
48,5	1,0515	431,5	NAN	
48,6	1,0515	432	NAN	
48,7	1,053	432	NAN	
48,8	1,0545	433	NAN	
48,9	1,059	434	NAN	
49	1,062	435,5	NAN	
49,1	1,065	436,5	NAN	
49,2	1,065	436,5	NAN	
49,3	1,0665	437	NAN	
49,4	1,068	438	NAN	
49,5	1,068	438	NAN	
49,6	1,071	438	NAN	
49,7	1,0695	438,5	NAN	
49,8	1,077	440	NAN	
49,9	1,077	441	NAN	
50	1,077	441,5	NAN	
50,1	1,08	442,5	NAN	
50,2	1,0815	443	NAN	
50,3	1,0815	443	NAN	
50,4	1,0815	443,5	NAN	
50,5	1,083	443,5	NAN	
50,6	1,086	444,5	NAN	
50,7	1,0905	446,5	NAN	
50,8	1,095	447	NAN	
50,9	1,0965	448,5	NAN	
51	1,1025	450	NAN	
51,1	1,104	451	NAN	
51,2	1,1055	451,5	NAN	
51,3	1,104	452	NAN	
51,4	1,1055	452,5	NAN	
51,5	1,1085	452,5	NAN	
51,6	1,1085	453	NAN	
51,7	1,1085	453,5	NAN	
51,8	1,11	454	NAN	
51,9	1,116	455,5	NAN	
52	1,1175	456	NAN	
52,1	1,116	456,5	NAN	
52,2	1,119	457	NAN	
52,3	1,1205	457,5	NAN	
52,4	1,1235	458,5	NAN	
52,5	1,1235	459	NAN	
52,6	1,1235	459	NAN	
52,7	1,125	459	NAN	
52,8	1,125	459	NAN	
52,9	1,128	459,5	NAN	
53	1,1295	460,5	NAN	
53,1	1,131	461	NAN	
53,2	1,131	461,5	NAN	
53,3	1,1325	462	NAN	
53,4	1,1325	462	NAN	
53,5	1,134	462,5	NAN	
53,6	1,137	463	NAN	
53,7	1,137	463,5	NAN	
53,8	1,1385	464	NAN	
53,9	1,143	465,5	NAN	
54	1,1475	467	NAN	
54,1	1,149	468	NAN	
54,2	1,149	468,5	NAN	
54,3	1,1505	469	NAN	
54,4	1,1505	469	NAN	
54,5	1,1535	470	NAN	
54,6	1,155	470	NAN	
54,7	1,155	470,5	NAN	
54,8	1,1565	470,5	NAN	
54,9	1,1565	471,5	NAN	
55	1,158	471,5	NAN	
55,1	1,158	471,5	NAN	
55,2	1,158	472	NAN	
55,3	1,1625	473	NAN	
55,4	1,164	474	NAN	
55,5	1,167	474,5	NAN	
55,6	1,1685	475	NAN	
55,7	1,1685	475	NAN	
55,8	1,1685	475,5	NAN	
55,9	1,173	476	NAN	
56	1,173	477	NAN	
56,1	1,1745	478	NAN	
56,2	1,179	478,5	NAN	
56,3	1,1775	479	NAN	
56,4	1,1805	479,5	NAN	
56,5	1,1865	480,5	NAN	
56,6	1,1925	483,5	NAN	
56,7	1,1985	485,5	NAN	
56,8	1,1985	486	NAN	
56,9	1,197	486,5	NAN	
57	1,1985	486,5	NAN	
57,1	1,197	486	NAN	
57,2	1,197	486,5	NAN	
57,3	1,1985	486,5	NAN	
57,4	1,1985	487	NAN	
57,5	1,2015	487	NAN	
57,6	1,1985	487	NAN	
57,7	1,2015	487	NAN	
57,8	1,2	487,5	NAN	
57,9	1,2	487,5	NAN	
58	1,2045	488,5	NAN	
58,1	1,206	488,5	NAN	
58,2	1,2045	489	NAN	
58,3	1,2075	489,5	NAN	
58,4	1,2075	490	NAN	
58,5	1,218	491,5	NAN	
58,6	1,2165	492,5	NAN	
58,7	1,2165	493	NAN	
58,8	1,2195	494	NAN	
58,9	1,2195	494,5	NAN	
59	1,2225	495	NAN	
59,1	1,227	496	NAN	
59,2	1,23	497	NAN	
59,3	1,2315	498	NAN	
59,4	1,2345	498,5	NAN	
59,5	1,236	499,5	NAN	
59,6	1,236	500	NAN	
59,7	1,2375	500,5	NAN	
59,8	1,239	501	NAN	
59,9	1,2405	501,5	NAN	
60	1,242	502	NAN	
60,1	1,242	502	NAN	
60,2	1,242	502,5	NAN	
60,3	1,2465	503,5	NAN	
60,4	1,2495	504	NAN	
60,5	1,248	504,5	NAN	
60,6	1,248	504,5	NAN	
60,7	1,2525	505	NAN	
60,8	1,251	505,5	NAN	
60,9	1,26	507,5	NAN	
61	1,263	509	NAN	
61,1	1,2645	509	NAN	
61,2	1,263	510	NAN	
61,3	1,266	510	NAN	
